college_id,name,city,state,type,courses_offered,annual_fees_inr,last_year_cutoff_pct,total_seats,hostel_available,naac_grade,avg_placement_lpa,established_year,about
C001,North Ridge Institute of Technology,Dehradun,Uttarakhand,Private,B.Tech CSE; B.Tech ME; B.Tech ECE,145000,82,240,Yes,A,6.5,2004,"A private engineering college on the Dehradun bypass, established 2004. Admission is through the state entrance test, with a small management quota. Tuition is quoted per academic year and billed in two equal semester instalments. A merit scholarship waives 25 percent of tuition for students scoring above 90 percent in Class 12. Separate hostel blocks for men and women, both with mess facilities included in a charge levied over and above tuition. The placement cell reports strong CSE recruitment from Noida and Bengaluru service firms; core mechanical placements are thinner. Laboratories were refurbished in 2021. Faculty strength is roughly 120, of whom about a fifth hold doctorates."
C002,Ganga Valley University,Haridwar,Uttarakhand,Private,BBA; B.Com; BCA; MBA,98000,68,360,Yes,B++,4.2,2009,"A private university at Haridwar offering undergraduate commerce and computer applications alongside a two-year MBA. MBA admission accepts CAT, MAT or the university's own written test followed by an interview. Undergraduate entry is on Class 12 marks. A need-based fee concession is available to students whose annual family income is below four lakh rupees; applications open in June. The campus has three hostel blocks and a students' cooperative store. Placement outcomes are concentrated in regional banking, retail and BPO roles. The university runs an evening skills programme in spoken English and Tally that is open to all enrolled students at no extra charge."
C003,Himalayan College of Engineering,Roorkee,Uttarakhand,Private,B.Tech CSE; B.Tech Civil; B.Tech EE,132000,75,300,Yes,A,5.8,2001,"One of the older private engineering colleges in Roorkee, with long-standing ties to civil contractors and to a cluster of electrical component manufacturers in the Haridwar SIDCUL belt. Sixth-semester students are placed in mandatory eight-week industry internships. A fee concession of fifteen percent is offered to female students in all branches, and a separate merit waiver applies to the top ten rankers in each entering cohort. Hostel accommodation is available on campus for both men and women, allocated by distance from home town. Civil engineering placements track the regional construction cycle and have been uneven since 2020."
C004,Doon Business School,Dehradun,Uttarakhand,Private,BBA; MBA; PGDM,175000,72,180,Yes,A+,7.1,2006,"A management-only institute in Dehradun running BBA, a two-year MBA and an AICTE-approved PGDM. The PGDM cohort is capped at sixty and carries a corporate mentorship track in which each student is paired with an alumnus. Admission requires CAT, XAT or MAT scores plus a group discussion and personal interview. An alumni-funded scholarship covers full tuition for five students each year, selected on financial need and interview performance. Hostel residence is compulsory in the first year. Recruiters are chiefly mid-sized consulting, insurance and FMCG sales employers; the reported average is pulled upward by a small number of high offers."
C005,Shivalik Government Polytechnic,Roorkee,Uttarakhand,Government,Diploma CSE; Diploma ME; Diploma Civil,22000,60,200,No,B+,3.4,1998,"A state-run polytechnic offering three-year diploma programmes only. It does not award B.Tech or any degree; diploma holders commonly enter the second year of a degree programme elsewhere through lateral entry. Tuition is heavily subsidised by the state and is waived entirely for students from Scheduled Caste and Scheduled Tribe households, and for students whose family income falls below two and a half lakh rupees a year. There is no hostel on campus; most students commute daily by state transport from Roorkee and Haridwar. Workshops are well equipped for machining and surveying. Placements are principally with regional contractors and diploma-level technician roles."
C006,Nainital Institute of Medical Sciences,Nainital,Uttarakhand,Private,MBBS; BDS; B.Sc Nursing,850000,91,150,Yes,A,0.0,2011,"A private medical college attached to a 600-bed teaching hospital. MBBS admission is exclusively through NEET-UG and the state counselling process. No campus placement figure is recorded or reported for this institution, and none is meaningful: MBBS and BDS graduates proceed to a compulsory rotating internship and then to postgraduate entrance examinations or clinical practice rather than to campus recruitment. The tuition shown covers the academic year only and excludes hostel, mess and clinical material charges, which are substantial. Hostel residence is compulsory for all clinical-year students. B.Sc Nursing students are absorbed in large numbers by the attached hospital."
C007,Kumaon Arts and Science College,Almora,Uttarakhand,Government,B.A; B.Sc; B.Com; M.A,15000,55,480,Yes,B,2.8,1985,"The oldest institution in this dataset and the principal government degree college for the Almora district. Fees are nominal. Entry is on Class 12 marks with no entrance examination. Means-cum-merit scholarships from the state government cover tuition and a monthly stipend for students below the income threshold, and a separate central scheme supports single-girl-child applicants. Hostel places exist but are limited relative to intake and are allocated to students from remote hill blocks first. There is no structured placement cell; the reported average reflects the small share of students who take part in the occasional recruitment drive rather than the cohort as a whole."
C008,Rishikesh Institute of Design,Rishikesh,Uttarakhand,Private,B.Des; B.F.A; M.Des,210000,65,120,Yes,A,5.2,2013,"A design school on the eastern bank of the Ganga. There is no written entrance examination; admission rests on a portfolio submission followed by a studio task and interview. Studio, material and printing charges are billed separately from tuition and typically add thirty to forty thousand rupees a year, which prospective students routinely underestimate. Hostel accommodation is available. Graduates go into brand and packaging studios in Delhi and Gurugram, and a growing number into freelance practice, which the reported placement average does not capture. Faculty are largely practising designers on part-time appointments. The M.Des cohort is very small, typically under fifteen students."
C009,Terai Technical University,Rudrapur,Uttarakhand,Deemed,B.Tech CSE; B.Tech ME; MCA; M.Tech,118000,70,420,Yes,A+,6.0,2007,A deemed-to-be university at Rudrapur with the largest engineering intake in the dataset and the only postgraduate M.Tech and MCA programmes among the technical institutions listed here. It houses a state-supported research centre in renewable energy and admits a small number of doctoral scholars in engineering disciplines only. Tuition is per academic year; hostel and mess are charged separately and hostel places are guaranteed to all first-year students. Admission is through the university's own entrance test or on JEE Main rank. Proximity to the Pantnagar and Sitarganj industrial estates supports steady mechanical and production placements alongside software roles.
C010,Mussoorie College of Hotel Management,Mussoorie,Uttarakhand,Private,BHM; B.Sc Hospitality; Diploma Culinary,165000,62,90,Yes,B++,4.9,2010,"A hospitality school with a small intake and a training restaurant open to the public on weekends. All BHM students complete a six-month paid industrial exposure training in the third year, frequently with hotel groups in Delhi, Jaipur and Goa, and a handful each year with cruise operators. A uniform, knife-roll and kit charge applies in the first year in addition to tuition. Hostel accommodation is on campus and residence is compulsory given the early kitchen shifts. Reported placement figures reflect entry-level hotel operations salaries, which are modest in the first two years but rise steeply thereafter."
C011,Haldwani Law College,Haldwani,Uttarakhand,Government,LLB; BA-LLB; LLM,28000,74,160,No,A,4.0,2003,"A government law college affiliated to the state university, running the three-year LLB, the five-year integrated BA-LLB and a one-year LLM. Admission is through the state law entrance examination. There is no hostel on the campus itself, and the college does not operate any residential facility; students customarily take paying-guest accommodation in the surrounding Haldwani neighbourhoods, and the college office maintains an informal list of verified landlords. Fees are low and further reduced for reserved categories. A legal aid clinic and moot court society are active. Most graduates enter district court practice or prepare for judicial services rather than corporate recruitment."
C012,Ambedkar National Institute,Kashipur,Uttarakhand,Government,B.Tech; B.Arch; M.Tech,45000,88,210,Yes,A+,8.4,1999,"A centrally funded technical institute and the most selective in this dataset, admitting on JEE Main rank for B.Tech and on NATA for B.Arch. Tuition is modest for a technical institute of its standing and is waived in full for students whose annual family income is below five lakh rupees, a scheme that in recent years has covered roughly a third of each intake. Hostel residence is compulsory for all undergraduates. It reports the strongest average package here, driven by software and analytics recruiters who visit in the first placement window. Architecture placements are counted separately and are considerably lower."
C013,Char Dham Pharmacy College,Srinagar,Uttarakhand,Private,B.Pharm; D.Pharm; M.Pharm,95000,66,180,Yes,B++,4.1,2012,"A pharmacy college approved by the Pharmacy Council of India, offering the two-year D.Pharm, four-year B.Pharm and a small M.Pharm programme in pharmaceutical chemistry. Admission is on Class 12 marks in the science stream. A state scholarship for students from hill districts covers a portion of tuition. Hostel accommodation is available on campus. Graduates are recruited by pharmaceutical manufacturers in the Selaqui and Haridwar industrial areas, and by hospital pharmacies; a proportion opt instead for the licensing examination and retail practice. Laboratory and dissertation charges in the final year are billed over and above the tuition figure shown."
C014,Ganga Institute of Commerce,Dehradun,Uttarakhand,Private,B.Com; BBA; M.Com; CA-Foundation,72000,63,300,Yes,B+,3.9,2008,"A private commerce institute in Dehradun, unaffiliated with and unrelated to Ganga Valley University at Haridwar despite the similarity of name; the two are separately managed and enquiries are frequently misdirected. It runs B.Com, BBA and M.Com alongside an integrated CA-Foundation coaching track bundled into the tuition fee. Admission is on Class 12 marks. There is no hostel and the institute makes no residential arrangements. Placements are concentrated in accountancy firms, tax practices and regional NBFCs. Evening batches are available for working students. Fee is charged per academic year and may be paid in three instalments on application to the accounts office."
C015,Silver Peak School of Media,Dehradun,Uttarakhand,Private,BJMC; BA-Film; MA-Mass Comm,138000,60,100,Yes,B++,4.3,2014,"The newest institution in this dataset, offering journalism, film and mass communication programmes. There is no entrance test; admission is on Class 12 marks and a short statement of purpose. The campus has a television studio, an editing suite and a sound stage, and equipment issue is included in tuition. Hostel accommodation is available a short distance from the campus. Graduates find work with regional news channels, digital content studios and production houses; a substantial share begin as freelancers, and the reported average package therefore represents only those in salaried roles at the time of the survey. Faculty include working journalists on visiting appointments."
